"","diff","lwr","upr","p adj"
"KO:GlucResp-No Cre:GlucOsc",0.327423906323908,-0.00925002211694914,0.664097834764766,0.0691681849746204
"No Cre:KClOsc-No Cre:GlucOsc",-0.0604859886909668,-0.431693585900019,0.310721608518085,0.99999999997283
"HET:KClOsc-No Cre:GlucOsc",-0.0694453438670064,-0.397012472839566,0.258121785105553,0.999999992912761
"KO:KClOsc-No Cre:GlucOsc",-0.0552059907090223,-0.39187991914988,0.281467937731835,0.999999999968872
"No Cre:KClPeaks-No Cre:GlucOsc",2.4172842297836,2.04607663257455,2.78849182699265,0
"HET:KClPeaks-No Cre:GlucOsc",2.34480741824484,2.01724028927228,2.6723745472174,0
"KO:KClPeaks-No Cre:GlucOsc",2.53011526133368,2.19344133289282,2.86678918977454,0
"No Cre:KClResp-No Cre:GlucOsc",1.11163245763048,0.74042486042143,1.48284005483953,2.35700348127921e-13
"HET:KClResp-No Cre:GlucOsc",1.11622197169057,0.788654842718014,1.44378910066313,0
"KO:KClResp-No Cre:GlucOsc",1.1028800838378,0.766206155396945,1.43955401227866,0
"KO:GlucOsc-HET:GlucOsc",0.0159479118555681,-0.271896625784817,0.303792449495953,1
"No Cre:GlucPeaks-HET:GlucOsc",11.1974624202809,10.8698952913083,11.5250295492535,0
"HET:GlucPeaks-HET:GlucOsc",12.7919912570302,12.514853443405,13.0691290706553,0
"KO:GlucPeaks-HET:GlucOsc",11.7580567541653,11.4702122165249,12.0459012918057,0
"No Cre:GlucResp-HET:GlucOsc",0.322716997905004,-0.00485013106755539,0.650284126877563,0.0596748689562792
"HET:GlucResp-HET:GlucOsc",0.503347251367164,0.226209437742006,0.780485064992322,1.08666884379716e-08
"KO:GlucResp-HET:GlucOsc",0.338181628266387,0.0503370906260018,0.626026165906772,0.00447402541331021
"No Cre:KClOsc-HET:GlucOsc",-0.0497282667484882,-0.377295395721047,0.277838862224071,0.999999999994341
"HET:KClOsc-HET:GlucOsc",-0.0586876219245278,-0.335825435549686,0.21845019170063,0.999999993076477
"KO:KClOsc-HET:GlucOsc",-0.0444482687665437,-0.332292806406929,0.243396268873841,0.999999999991809
"No Cre:KClPeaks-HET:GlucOsc",2.42804195172608,2.10047482275352,2.75560908069864,0
"HET:KClPeaks-HET:GlucOsc",2.35556514018732,2.07842732656216,2.63270295381248,0
"KO:KClPeaks-HET:GlucOsc",2.54087298327616,2.25302844563577,2.82871752091654,0
"No Cre:KClResp-HET:GlucOsc",1.12239017957296,0.794823050600401,1.44995730854552,0
"HET:KClResp-HET:GlucOsc",1.12697969363305,0.849841880007894,1.40411750725821,0
"KO:KClResp-HET:GlucOsc",1.11363780578028,0.825793268139896,1.40148234342067,0
"No Cre:GlucPeaks-KO:GlucOsc",11.1815145084253,10.8448405799845,11.5181884368662,0
"HET:GlucPeaks-KO:GlucOsc",12.7760433451746,12.4881988075342,13.063887882815,0
"KO:GlucPeaks-KO:GlucOsc",11.7421088423098,11.4439417952407,12.0402758893788,0
"No Cre:GlucResp-KO:GlucOsc",0.306769086049436,-0.0299048423914218,0.643443014490293,0.134421162338575
"HET:GlucResp-KO:GlucOsc",0.487399339511596,0.199554801871211,0.775243877151981,2.01055802118155e-07
"KO:GlucResp-KO:GlucOsc",0.322233716410819,0.0240666693417614,0.620400763479876,0.0176262909423895
"No Cre:KClOsc-KO:GlucOsc",-0.0656761786040563,-0.402350107044914,0.270997749836801,0.999999998745357
"HET:KClOsc-KO:GlucOsc",-0.0746355337800959,-0.362480071420481,0.213209003860289,0.999999594256518
"KO:KClOsc-KO:GlucOsc",-0.0603961806221118,-0.358563227691169,0.237770866446946,0.999999997244041
"No Cre:KClPeaks-KO:GlucOsc",2.41209403987051,2.07542011142965,2.74876796831137,0
"HET:KClPeaks-KO:GlucOsc",2.33961722833175,2.05177269069137,2.62746176597214,0
"KO:KClPeaks-KO:GlucOsc",2.52492507142059,2.22675802435153,2.82309211848965,0
"No Cre:KClResp-KO:GlucOsc",1.10644226771739,0.769768339276535,1.44311619615825,0
"HET:KClResp-KO:GlucOsc",1.11103178177748,0.823187244137099,1.39887631941787,0
"KO:KClResp-KO:GlucOsc",1.09768989392471,0.799522846855656,1.39585694099377,0
"HET:GlucPeaks-No Cre:GlucPeaks",1.59452883674928,1.26696170777672,1.92209596572184,0
"KO:GlucPeaks-No Cre:GlucPeaks",0.560594333884424,0.223920405443567,0.897268262325282,3.81500407375945e-07
"No Cre:GlucResp-No Cre:GlucPeaks",-10.8747454223759,-11.2459530195849,-10.5035378251668,0
"HET:GlucResp-No Cre:GlucPeaks",-10.6941151689137,-11.0216822978863,-10.3665480399412,0
"KO:GlucResp-No Cre:GlucPeaks",-10.8592807920145,-11.1959547204554,-10.5226068635736,0
"No Cre:KClOsc-No Cre:GlucPeaks",-11.2471906870294,-11.6183982842384,-10.8759830898203,0
